,Platform,Year,Global_Sales
361,PS2,2002-01-01,3.54
8228,GC,2002-01-01,0.17
13238,PS2,2002-01-01,0.05
2294,PS2,2002-01-01,0.9
10895,GC,2002-01-01,0.09
4238,PS2,2002-01-01,0.46
12865,XB,2002-01-01,0.05
15703,PS2,2002-01-01,0.02
13227,GBA,2002-01-01,0.05
6620,GC,2002-01-01,0.25
12258,GBA,2002-01-01,0.06
4231,GBA,2002-01-01,0.46
8686,GC,2002-01-01,0.16
13934,GC,2002-01-01,0.04
10230,PS2,2002-01-01,0.11
7239,XB,2002-01-01,0.22
342,PS2,2002-01-01,3.65
339,PS2,2002-01-01,3.67
4224,PS2,2002-01-01,0.46
10237,PS2,2002-01-01,0.11
13210,GBA,2002-01-01,0.05
12868,GC,2002-01-01,0.05
7270,GBA,2002-01-01,0.22
6600,GBA,2002-01-01,0.26
6599,GBA,2002-01-01,0.26
747,PS2,2002-01-01,2.18
15661,GC,2002-01-01,0.02
10963,GBA,2002-01-01,0.09
404,PS2,2002-01-01,3.33
3679,XB,2002-01-01,0.55
10150,GC,2002-01-01,0.11
10151,GC,2002-01-01,0.11
403,PS2,2002-01-01,3.33
15666,PS2,2002-01-01,0.02
7279,GC,2002-01-01,0.22
10155,GBA,2002-01-01,0.11
10160,PS2,2002-01-01,0.11
4280,PS2,2002-01-01,0.46
10173,GBA,2002-01-01,0.11
6587,GBA,2002-01-01,0.26
6590,GC,2002-01-01,0.26
6591,XB,2002-01-01,0.26
2683,PS2,2002-01-01,0.77
4268,PS2,2002-01-01,0.46
10524,GBA,2002-01-01,0.1
10935,GBA,2002-01-01,0.09
392,PS2,2002-01-01,3.4
10199,PS2,2002-01-01,0.11
10929,GBA,2002-01-01,0.09
7276,PS2,2002-01-01,0.22
2684,PS2,2002-01-01,0.77
385,PS2,2002-01-01,3.44
8902,GBA,2002-01-01,0.15
2279,PS2,2002-01-01,0.91
7233,PS2,2002-01-01,0.22
10872,XB,2002-01-01,0.09
10832,XB,2002-01-01,0.09
4174,GBA,2002-01-01,0.47
13965,GBA,2002-01-01,0.04
279,PS2,2002-01-01,4.14
15894,XB,2002-01-01,0.02
13196,GC,2002-01-01,0.05
3808,GC,2002-01-01,0.53
10817,PS2,2002-01-01,0.09
2072,PS2,2002-01-01,1.0
8715,GBA,2002-01-01,0.16
10812,XB,2002-01-01,0.1
10806,XB,2002-01-01,0.1
1455,PS2,2002-01-01,1.34
6902,PS,2002-01-01,0.24
15924,PC,2002-01-01,0.02
13960,GBA,2002-01-01,0.04
7165,GC,2002-01-01,0.22
7158,PS2,2002-01-01,0.22
2717,PS2,2002-01-01,0.76
10791,XB,2002-01-01,0.1
241,PS2,2002-01-01,4.48
10789,GBA,2002-01-01,0.1
15959,PS2,2002-01-01,0.02
10777,GBA,2002-01-01,0.1
6716,GBA,2002-01-01,0.25
6717,GBA,2002-01-01,0.25
12267,XB,2002-01-01,0.06
13198,GBA,2002-01-01,0.05
13265,GC,2002-01-01,0.05
4176,PS2,2002-01-01,0.47
10285,GC,2002-01-01,0.11
5811,XB,2002-01-01,0.31
10253,XB,2002-01-01,0.11
10868,GBA,2002-01-01,0.09
10255,XB,2002-01-01,0.11
12881,GBA,2002-01-01,0.05
328,PC,2002-01-01,3.76
15779,PS,2002-01-01,0.02
6636,XB,2002-01-01,0.25
2275,PS2,2002-01-01,0.91
15792,GBA,2002-01-01,0.02
6639,GBA,2002-01-01,0.25
15799,GBA,2002-01-01,0.02
15800,GC,2002-01-01,0.02
10269,GC,2002-01-01,0.11
5283,GBA,2002-01-01,0.35
8888,GBA,2002-01-01,0.15
7221,GC,2002-01-01,0.22
12894,GBA,2002-01-01,0.05
8708,GBA,2002-01-01,0.16
7192,PS2,2002-01-01,0.22
12897,PS,2002-01-01,0.05
10847,XB,2002-01-01,0.09
3791,XB,2002-01-01,0.53
12902,XB,2002-01-01,0.05
12905,PS2,2002-01-01,0.05
6670,PS2,2002-01-01,0.25
10843,GC,2002-01-01,0.09
10288,XB,2002-01-01,0.11
12657,XB,2002-01-01,0.06
2401,PS2,2002-01-01,0.87
9824,PS2,2002-01-01,0.12
7847,XB,2002-01-01,0.19
14553,PS2,2002-01-01,0.03
1068,GBA,2002-01-01,1.69
1691,GBA,2002-01-01,1.19
11808,PS2,2002-01-01,0.07
8394,PS2,2002-01-01,0.17
9319,PS2,2002-01-01,0.14
1699,GC,2002-01-01,1.19
11802,GBA,2002-01-01,0.07
4731,PS2,2002-01-01,0.41
14578,PC,2002-01-01,0.03
1380,XB,2002-01-01,1.4
5668,GBA,2002-01-01,0.32
3060,PS2,2002-01-01,0.66
6126,XB,2002-01-01,0.28
14594,XB,2002-01-01,0.03
5787,GC,2002-01-01,0.31
14600,GBA,2002-01-01,0.03
12516,GC,2002-01-01,0.06
9579,GC,2002-01-01,0.13
4721,PS2,2002-01-01,0.41
2653,GC,2002-01-01,0.78
9104,PS2,2002-01-01,0.14
9102,XB,2002-01-01,0.14
5663,XB,2002-01-01,0.32
1529,GC,2002-01-01,1.29
14628,XB,2002-01-01,0.03
9558,GC,2002-01-01,0.13
7853,GBA,2002-01-01,0.19
5694,XB,2002-01-01,0.32
4777,PS2,2002-01-01,0.41
7898,PS2,2002-01-01,0.19
3002,PS2,2002-01-01,0.68
9119,GC,2002-01-01,0.14
7896,PS2,2002-01-01,0.19
11880,XB,2002-01-01,0.07
1118,PS2,2002-01-01,1.64
7884,GBA,2002-01-01,0.19
8383,GC,2002-01-01,0.17
7875,GBA,2002-01-01,0.19
1104,PS2,2002-01-01,1.66
9516,PC,2002-01-01,0.13
9524,XB,2002-01-01,0.13
9110,GBA,2002-01-01,0.14
1666,PS2,2002-01-01,1.2
3023,PS2,2002-01-01,0.67
5687,PS2,2002-01-01,0.32
8386,XB,2002-01-01,0.17
11837,XB,2002-01-01,0.07
12132,PS2,2002-01-01,0.07
1081,GBA,2002-01-01,1.68
11831,XB,2002-01-01,0.07
4749,GC,2002-01-01,0.41
12340,GBA,2002-01-01,0.06
11824,PS2,2002-01-01,0.07
11767,GBA,2002-01-01,0.07
9588,GBA,2002-01-01,0.13
3082,GBA,2002-01-01,0.66
5098,XB,2002-01-01,0.37
5648,PS2,2002-01-01,0.32
11699,PS2,2002-01-01,0.08
3127,PS2,2002-01-01,0.65
1527,GBA,2002-01-01,1.29
9643,XB,2002-01-01,0.13
9647,XB,2002-01-01,0.13
14705,GBA,2002-01-01,0.03
6167,GBA,2002-01-01,0.28
7789,PS2,2002-01-01,0.19
6170,PS2,2002-01-01,0.28
9654,PS,2002-01-01,0.13
7773,PS2,2002-01-01,0.19
12141,GBA,2002-01-01,0.07
2520,PS2,2002-01-01,0.82
7765,GBA,2002-01-01,0.19
11667,GBA,2002-01-01,0.08
14731,GBA,2002-01-01,0.03
963,GBA,2002-01-01,1.8
12548,GBA,2002-01-01,0.06
1387,PS2,2002-01-01,1.4
960,PS2,2002-01-01,1.81
9078,XB,2002-01-01,0.14
6187,GBA,2002-01-01,0.28
13600,GBA,2002-01-01,0.04
13611,PS2,2002-01-01,0.04
9178,PS2,2002-01-01,0.14
994,XB,2002-01-01,1.76
995,PS2,2002-01-01,1.76
9590,GC,2002-01-01,0.13
7816,GBA,2002-01-01,0.19
1030,GBA,2002-01-01,1.73
4705,PS2,2002-01-01,0.41
14633,GBA,2002-01-01,0.03
1722,PS2,2002-01-01,1.17
13622,PC,2002-01-01,0.04
6150,PS,2002-01-01,0.28
11748,PS2,2002-01-01,0.07
13621,XB,2002-01-01,0.04
9609,GBA,2002-01-01,0.13
14659,GC,2002-01-01,0.03
11909,XB,2002-01-01,0.07
13056,XB,2002-01-01,0.05
9612,GC,2002-01-01,0.13
1015,PS2,2002-01-01,1.74
11725,XB,2002-01-01,0.08
3106,PS2,2002-01-01,0.65
11724,GC,2002-01-01,0.08
7801,GC,2002-01-01,0.19
5656,GBA,2002-01-01,0.32
6158,GBA,2002-01-01,0.28
14668,XB,2002-01-01,0.03
11714,GBA,2002-01-01,0.08
6162,PS2,2002-01-01,0.28
9621,XB,2002-01-01,0.13
9611,PS2,2002-01-01,0.13
12331,GC,2002-01-01,0.06
12482,GC,2002-01-01,0.06
9498,XB,2002-01-01,0.13
5958,PS2,2002-01-01,0.29
8054,GBA,2002-01-01,0.18
2631,GBA,2002-01-01,0.78
2876,GC,2002-01-01,0.71
1563,PS2,2002-01-01,1.27
1363,GC,2002-01-01,1.42
2879,GC,2002-01-01,0.71
13828,GBA,2002-01-01,0.04
5969,GBA,2002-01-01,0.29
8045,XB,2002-01-01,0.18
5975,XB,2002-01-01,0.29
2823,GC,2002-01-01,0.72
14200,GBA,2002-01-01,0.03
4859,GC,2002-01-01,0.4
5045,XB,2002-01-01,0.38
12391,PS,2002-01-01,0.06
9402,XB,2002-01-01,0.13
5979,PS2,2002-01-01,0.29
1593,PC,2002-01-01,1.25
9407,GC,2002-01-01,0.13
14231,PS2,2002-01-01,0.03
8018,XB,2002-01-01,0.18
9174,GBA,2002-01-01,0.14
1268,XB,2002-01-01,1.49
14250,GBA,2002-01-01,0.03
2870,GC,2002-01-01,0.71
9160,PS2,2002-01-01,0.14
8064,GC,2002-01-01,0.18
5954,GC,2002-01-01,0.3
4902,GBA,2002-01-01,0.39
9344,GBA,2002-01-01,0.13
2834,XB,2002-01-01,0.72
12089,PS2,2002-01-01,0.07
1354,PS2,2002-01-01,1.42
4900,XB,2002-01-01,0.39
5771,GBA,2002-01-01,0.31
8102,GC,2002-01-01,0.18
12086,PS2,2002-01-01,0.07
14128,GBA,2002-01-01,0.03
1344,PS2,2002-01-01,1.44
2847,GBA,2002-01-01,0.72
12081,PS,2002-01-01,0.07
4895,PS2,2002-01-01,0.39
14137,GBA,2002-01-01,0.03
12077,PS2,2002-01-01,0.07
5937,GBA,2002-01-01,0.3
14148,PS2,2002-01-01,0.03
2857,XB,2002-01-01,0.71
2858,XB,2002-01-01,0.71
9351,XB,2002-01-01,0.13
9167,PS2,2002-01-01,0.14
12366,PS2,2002-01-01,0.06
9353,GBA,2002-01-01,0.13
14163,PS2,2002-01-01,0.03
2867,PS2,2002-01-01,0.71
14256,GBA,2002-01-01,0.03
13773,GBA,2002-01-01,0.04
12106,GC,2002-01-01,0.07
7966,XB,2002-01-01,0.19
5031,PS2,2002-01-01,0.38
12462,PS2,2002-01-01,0.06
2962,GC,2002-01-01,0.69
1182,PS2,2002-01-01,1.57
11949,XB,2002-01-01,0.07
9128,PS2,2002-01-01,0.14
14393,GC,2002-01-01,0.03
11945,XB,2002-01-01,0.07
1179,GBA,2002-01-01,1.58
4796,PS2,2002-01-01,0.4
14398,PS2,2002-01-01,0.03
11933,GBA,2002-01-01,0.07
1648,PS2,2002-01-01,1.22
12119,GC,2002-01-01,0.07
7956,GBA,2002-01-01,0.19
9485,XB,2002-01-01,0.13
11927,PS2,2002-01-01,0.07
9490,PS2,2002-01-01,0.13
12469,GBA,2002-01-01,0.06
6057,PS2,2002-01-01,0.29
6058,DC,2002-01-01,0.29
6060,PS2,2002-01-01,0.29
1655,PS2,2002-01-01,1.21
11918,GC,2002-01-01,0.07
1644,GBA,2002-01-01,1.22
7971,XB,2002-01-01,0.19
1196,PS2,2002-01-01,1.55
13726,GC,2002-01-01,0.04
14116,XB,2002-01-01,0.03
9426,GC,2002-01-01,0.13
9427,PS2,2002-01-01,0.13
13766,PS2,2002-01-01,0.04
5721,XB,2002-01-01,0.31
13865,XB,2002-01-01,0.04
1256,PS2,2002-01-01,1.5
1614,XB,2002-01-01,1.23
14278,GC,2002-01-01,0.03
9154,GC,2002-01-01,0.14
1240,PS2,2002-01-01,1.51
1239,GC,2002-01-01,1.52
14476,GBA,2002-01-01,0.03
6005,GC,2002-01-01,0.29
2934,PS2,2002-01-01,0.7
1231,PS2,2002-01-01,1.52
8137,PS2,2002-01-01,0.18
7987,XB,2002-01-01,0.19
14327,PC,2002-01-01,0.03
7981,PS2,2002-01-01,0.19
11973,XB,2002-01-01,0.07
2591,PS2,2002-01-01,0.8
12434,GBA,2002-01-01,0.06
14364,GC,2002-01-01,0.03
9324,XB,2002-01-01,0.14
2587,GC,2002-01-01,0.8
13747,GC,2002-01-01,0.04
3161,XB,2002-01-01,0.64
9587,PS2,2002-01-01,0.13
2512,XB,2002-01-01,0.82
12589,GBA,2002-01-01,0.06
3235,GC,2002-01-01,0.63
6249,PS2,2002-01-01,0.28
7673,GC,2002-01-01,0.2
12593,GC,2002-01-01,0.06
3243,PS2,2002-01-01,0.62
2785,XB,2002-01-01,0.74
1801,XB,2002-01-01,1.13
860,PS2,2002-01-01,1.97
854,PS,2002-01-01,1.98
853,GBA,2002-01-01,1.99
5133,GC,2002-01-01,0.37
6273,GBA,2002-01-01,0.27
9050,GC,2002-01-01,0.14
2470,PS2,2002-01-01,0.84
14907,PS2,2002-01-01,0.03
11504,GBA,2002-01-01,0.08
883,PS2,2002-01-01,1.94
11548,XB,2002-01-01,0.08
4605,PS2,2002-01-01,0.42
7692,PS2,2002-01-01,0.2
11606,GBA,2002-01-01,0.08
7707,XB,2002-01-01,0.2
8147,PS2,2002-01-01,0.18
14791,PS2,2002-01-01,0.03
9706,PS2,2002-01-01,0.12
4617,XB,2002-01-01,0.42
7704,GBA,2002-01-01,0.2
13572,GBA,2002-01-01,0.04
7643,XB,2002-01-01,0.2
3213,PS2,2002-01-01,0.63
8419,GBA,2002-01-01,0.17
5792,PS2,2002-01-01,0.31
11572,GC,2002-01-01,0.08
7700,PS,2002-01-01,0.2
9057,PS,2002-01-01,0.14
11565,GC,2002-01-01,0.08
8420,GBA,2002-01-01,0.17
13550,GBA,2002-01-01,0.04
11583,PS2,2002-01-01,0.08
14917,GC,2002-01-01,0.02
825,GC,2002-01-01,2.05
8450,GC,2002-01-01,0.17
11448,GC,2002-01-01,0.08
4553,GBA,2002-01-01,0.43
780,PS2,2002-01-01,2.11
6330,GBA,2002-01-01,0.27
14991,GBA,2002-01-01,0.02
11435,GC,2002-01-01,0.08
11429,GC,2002-01-01,0.08
4550,GC,2002-01-01,0.43
6328,GC,2002-01-01,0.27
8493,GC,2002-01-01,0.16
6331,GBA,2002-01-01,0.27
2447,PS2,2002-01-01,0.85
15009,GBA,2002-01-01,0.02
11419,GC,2002-01-01,0.08
13501,GBA,2002-01-01,0.04
15011,PS,2002-01-01,0.02
3328,GBA,2002-01-01,0.61
8495,PS2,2002-01-01,0.16
3318,GBA,2002-01-01,0.61
9299,GBA,2002-01-01,0.14
8472,GBA,2002-01-01,0.16
786,PS2,2002-01-01,2.1
7633,PS2,2002-01-01,0.2
5602,PS,2002-01-01,0.32
8463,PS2,2002-01-01,0.16
6304,PS2,2002-01-01,0.27
2780,GBA,2002-01-01,0.74
808,PS,2002-01-01,2.07
4569,GC,2002-01-01,0.42
9766,XB,2002-01-01,0.12
13514,PS2,2002-01-01,0.04
11480,N64,2002-01-01,0.08
14947,GC,2002-01-01,0.02
800,PS2,2002-01-01,2.08
6311,GBA,2002-01-01,0.27
3293,PS2,2002-01-01,0.61
14957,XB,2002-01-01,0.02
8469,PS2,2002-01-01,0.16
4940,PS2,2002-01-01,0.39
787,XB,2002-01-01,2.1
3288,XB,2002-01-01,0.61
12577,PS,2002-01-01,0.06
14872,PC,2002-01-01,0.03
5001,GC,2002-01-01,0.38
7733,GBA,2002-01-01,0.2
7739,XB,2002-01-01,0.19
3192,XB,2002-01-01,0.63
11626,PS2,2002-01-01,0.08
5108,GC,2002-01-01,0.37
6209,PS2,2002-01-01,0.28
8413,XB,2002-01-01,0.17
9695,PS2,2002-01-01,0.12
3168,GBA,2002-01-01,0.64
11622,GC,2002-01-01,0.08
11642,GC,2002-01-01,0.08
1752,GBA,2002-01-01,1.16
4645,PS2,2002-01-01,0.42
7717,XB,2002-01-01,0.2
12149,PS2,2002-01-01,0.07
2504,XB,2002-01-01,0.82
11641,GC,2002-01-01,0.08
9705,GBA,2002-01-01,0.12
5113,PS2,2002-01-01,0.37
9690,GBA,2002-01-01,0.12
8416,GC,2002-01-01,0.17
919,GC,2002-01-01,1.87
7714,XB,2002-01-01,0.2
11655,XB,2002-01-01,0.08
6191,PS2,2002-01-01,0.28
4675,PS2,2003-01-01,0.41
5315,XB,2003-01-01,0.35
9875,GC,2003-01-01,0.12
9287,GBA,2003-01-01,0.14
5311,GBA,2003-01-01,0.35
5309,PS2,2003-01-01,0.35
9331,XB,2003-01-01,0.13
4362,PS2,2003-01-01,0.45
5730,PS2,2003-01-01,0.31
4556,XB,2003-01-01,0.43
9788,GBA,2003-01-01,0.12
7732,PS2,2003-01-01,0.2
10084,XB,2003-01-01,0.11
9180,GBA,2003-01-01,0.14
4112,PS2,2003-01-01,0.48
4496,PS2,2003-01-01,0.43
5742,PS2,2003-01-01,0.31
5705,XB,2003-01-01,0.31
6174,XB,2003-01-01,0.28
8307,GC,2003-01-01,0.17
7571,GBA,2003-01-01,0.2
7542,PS2,2003-01-01,0.2
7612,PS2,2003-01-01,0.2
8550,PS2,2003-01-01,0.16
9291,XB,2003-01-01,0.14
4101,PS2,2003-01-01,0.48
6534,XB,2003-01-01,0.26
6804,PS2,2003-01-01,0.24
7741,GBA,2003-01-01,0.19
9873,PS2,2003-01-01,0.12
6799,PS2,2003-01-01,0.24
8314,XB,2003-01-01,0.17
8021,PS2,2003-01-01,0.18
5538,GBA,2003-01-01,0.33
7974,XB,2003-01-01,0.19
9076,PC,2003-01-01,0.14
7066,PS2,2003-01-01,0.23
6510,GBA,2003-01-01,0.26
5712,GBA,2003-01-01,0.31
4678,PS2,2003-01-01,0.41
8007,PS2,2003-01-01,0.18
8004,GBA,2003-01-01,0.18
8736,GC,2003-01-01,0.15
9649,XB,2003-01-01,0.13
8010,XB,2003-01-01,0.18
6372,GC,2003-01-01,0.27
6013,GBA,2003-01-01,0.29
4937,PS2,2003-01-01,0.39
5824,XB,2003-01-01,0.3
7098,PS2,2003-01-01,0.23
6305,GC,2003-01-01,0.27
4674,PS2,2003-01-01,0.41
8128,GBA,2003-01-01,0.18
5895,GBA,2003-01-01,0.3
7989,PS2,2003-01-01,0.19
8340,XB,2003-01-01,0.17
8871,XB,2003-01-01,0.15
6542,XB,2003-01-01,0.26
7562,GBA,2003-01-01,0.2
7112,PS2,2003-01-01,0.23
7081,PS2,2003-01-01,0.23
4475,GBA,2003-01-01,0.44
7099,PS2,2003-01-01,0.23
5050,GC,2003-01-01,0.38
5176,PS2,2003-01-01,0.36
6819,XB,2003-01-01,0.24
7085,XB,2003-01-01,0.23
7087,XB,2003-01-01,0.23
9888,XB,2003-01-01,0.12
8156,PS2,2003-01-01,0.18
8012,PS2,2003-01-01,0.18
8749,GC,2003-01-01,0.15
7560,GC,2003-01-01,0.2
10372,XB,2003-01-01,0.11
4863,PS2,2003-01-01,0.4
5109,PS2,2003-01-01,0.37
7009,GC,2003-01-01,0.23
10054,PS2,2003-01-01,0.11
10491,XB,2003-01-01,0.1
8814,GC,2003-01-01,0.15
10486,GBA,2003-01-01,0.1
4521,GBA,2003-01-01,0.43
5583,PS2,2003-01-01,0.32
6935,GBA,2003-01-01,0.24
4054,PS2,2003-01-01,0.49
5931,GBA,2003-01-01,0.3
8815,XB,2003-01-01,0.15
7609,XB,2003-01-01,0.2
9681,PS2,2003-01-01,0.12
8092,PS2,2003-01-01,0.18
4057,PS2,2003-01-01,0.49
9851,PS2,2003-01-01,0.12
7352,XB,2003-01-01,0.21
10461,GC,2003-01-01,0.1
8812,GBA,2003-01-01,0.15
9846,PS2,2003-01-01,0.12
10055,GBA,2003-01-01,0.11
8791,GC,2003-01-01,0.15
6888,PS2,2003-01-01,0.24
4539,PS2,2003-01-01,0.43
5919,PC,2003-01-01,0.3
6912,PS2,2003-01-01,0.24
8498,PS2,2003-01-01,0.16
8506,PS2,2003-01-01,0.16
8511,GBA,2003-01-01,0.16
8271,XB,2003-01-01,0.17
5946,XB,2003-01-01,0.3
8285,XB,2003-01-01,0.17
10508,XB,2003-01-01,0.1
8288,PS2,2003-01-01,0.17
8260,GC,2003-01-01,0.17
4033,GBA,2003-01-01,0.49
4528,PS2,2003-01-01,0.43
10501,PS2,2003-01-01,0.1
4037,GC,2003-01-01,0.49
6877,XB,2003-01-01,0.24
4896,GBA,2003-01-01,0.39
5368,PS2,2003-01-01,0.34
6197,GBA,2003-01-01,0.28
7583,PS2,2003-01-01,0.2
8543,PS2,2003-01-01,0.16
9658,GBA,2003-01-01,0.12
9335,GBA,2003-01-01,0.13
6841,PS2,2003-01-01,0.24
9390,XB,2003-01-01,0.13
6993,XB,2003-01-01,0.23
7580,GBA,2003-01-01,0.2
4512,PS2,2003-01-01,0.43
9804,GC,2003-01-01,0.12
6835,XB,2003-01-01,0.24
8549,XB,2003-01-01,0.16
5968,GBA,2003-01-01,0.29
6830,XB,2003-01-01,0.24
9758,XB,2003-01-01,0.12
4508,XB,2003-01-01,0.43
6176,PS2,2003-01-01,0.28
9334,PS2,2003-01-01,0.13
8038,PS2,2003-01-01,0.18
10414,GBA,2003-01-01,0.11
7013,PS2,2003-01-01,0.23
5328,PS2,2003-01-01,0.35
10432,XB,2003-01-01,0.1
8519,GC,2003-01-01,0.16
4064,PS2,2003-01-01,0.49
5952,XB,2003-01-01,0.3
6957,PS2,2003-01-01,0.23
10070,XB,2003-01-01,0.11
8523,XB,2003-01-01,0.16
8302,PS2,2003-01-01,0.17
6854,PS2,2003-01-01,0.24
5331,PS2,2003-01-01,0.35
6969,GBA,2003-01-01,0.23
9855,GBA,2003-01-01,0.12
8600,PS2,2003-01-01,0.16
8968,GC,2003-01-01,0.15
8303,PS2,2003-01-01,0.17
10440,PS2,2003-01-01,0.1
8486,PS2,2003-01-01,0.16
10439,XB,2003-01-01,0.1
10438,GC,2003-01-01,0.1
6970,XB,2003-01-01,0.23
7128,PS2,2003-01-01,0.23
6892,XB,2003-01-01,0.24
9455,XB,2003-01-01,0.13
6243,PS2,2003-01-01,0.28
5450,GBA,2003-01-01,0.33
8435,GC,2003-01-01,0.17
5022,GC,2003-01-01,0.38
7269,PS2,2003-01-01,0.22
6608,XB,2003-01-01,0.25
4973,GBA,2003-01-01,0.39
9562,XB,2003-01-01,0.13
5235,PS2,2003-01-01,0.36
4976,PS2,2003-01-01,0.38
8197,XB,2003-01-01,0.18
6597,PS2,2003-01-01,0.26
10009,PS2,2003-01-01,0.11
7273,GBA,2003-01-01,0.22
10213,PS2,2003-01-01,0.11
8641,GBA,2003-01-01,0.16
7695,GBA,2003-01-01,0.2
6112,GBA,2003-01-01,0.28
7684,XB,2003-01-01,0.2
7850,PS2,2003-01-01,0.19
9552,GC,2003-01-01,0.13
8411,XB,2003-01-01,0.17
6101,GBA,2003-01-01,0.29
5902,PS2,2003-01-01,0.3
4982,PS2,2003-01-01,0.38
8691,PS2,2003-01-01,0.16
4437,GBA,2003-01-01,0.44
9323,XB,2003-01-01,0.14
5617,PS2,2003-01-01,0.32
5628,GC,2003-01-01,0.32
6107,PS2,2003-01-01,0.28
6559,GBA,2003-01-01,0.26
5653,PS2,2003-01-01,0.32
8669,GC,2003-01-01,0.16
7438,GBA,2003-01-01,0.21
4603,PS2,2003-01-01,0.42
9192,XB,2003-01-01,0.14
5449,PS2,2003-01-01,0.33
8390,XB,2003-01-01,0.17
6250,GBA,2003-01-01,0.28
10200,PS2,2003-01-01,0.11
5673,XB,2003-01-01,0.32
5474,XB,2003-01-01,0.33
8927,XB,2003-01-01,0.15
9015,GBA,2003-01-01,0.14
5506,PS2,2003-01-01,0.33
10148,XB,2003-01-01,0.11
7295,GBA,2003-01-01,0.22
9994,XB,2003-01-01,0.12
5466,GC,2003-01-01,0.33
5469,XB,2003-01-01,0.33
6230,PS2,2003-01-01,0.28
4620,PS2,2003-01-01,0.42
4396,XB,2003-01-01,0.45
8401,GC,2003-01-01,0.17
5027,PS2,2003-01-01,0.38
7399,GC,2003-01-01,0.21
7810,PS2,2003-01-01,0.19
7283,GBA,2003-01-01,0.22
7407,XB,2003-01-01,0.21
7811,XB,2003-01-01,0.19
7818,PS2,2003-01-01,0.19
9729,PS2,2003-01-01,0.12
7825,PS2,2003-01-01,0.19
6231,GC,2003-01-01,0.28
5639,PS2,2003-01-01,0.32
10192,GC,2003-01-01,0.11
4427,PS2,2003-01-01,0.44
7422,GC,2003-01-01,0.21
4269,PS2,2003-01-01,0.46
4301,XB,2003-01-01,0.46
7398,PS2,2003-01-01,0.21
6129,PS2,2003-01-01,0.28
6132,GC,2003-01-01,0.28
5667,PS2,2003-01-01,0.32
10189,XB,2003-01-01,0.11
8919,PS2,2003-01-01,0.15
6154,XB,2003-01-01,0.28
10171,XB,2003-01-01,0.11
6152,PS2,2003-01-01,0.28
8415,PS2,2003-01-01,0.17
6131,PS2,2003-01-01,0.28
9580,XB,2003-01-01,0.13
4271,GBA,2003-01-01,0.46
5234,PS2,2003-01-01,0.36
6095,XB,2003-01-01,0.29
9527,PS2,2003-01-01,0.13
6395,PS2,2003-01-01,0.27
6702,PS2,2003-01-01,0.25
8953,GBA,2003-01-01,0.15
6397,PS2,2003-01-01,0.27
5847,PS2,2003-01-01,0.3
7961,PS2,2003-01-01,0.19
5534,GBA,2003-01-01,0.33
6696,GC,2003-01-01,0.25
5293,PS2,2003-01-01,0.35
4927,XB,2003-01-01,0.39
8982,GBA,2003-01-01,0.15
8170,GBA,2003-01-01,0.18
10308,GC,2003-01-01,0.11
10301,XB,2003-01-01,0.11
4579,XB,2003-01-01,0.42
4788,GC,2003-01-01,0.4
5135,GBA,2003-01-01,0.37
4581,PS2,2003-01-01,0.42
4578,GC,2003-01-01,0.42
6679,XB,2003-01-01,0.25
4803,GC,2003-01-01,0.4
9755,XB,2003-01-01,0.12
9075,XB,2003-01-01,0.14
8727,PS2,2003-01-01,0.15
4470,PS2,2003-01-01,0.44
5295,GBA,2003-01-01,0.35
4468,GBA,2003-01-01,0.44
4296,GBA,2003-01-01,0.46
8994,XB,2003-01-01,0.14
7626,XB,2003-01-01,0.2
6548,GC,2003-01-01,0.26
6034,GBA,2003-01-01,0.29
5422,GC,2003-01-01,0.34
5138,GBA,2003-01-01,0.37
8721,GBA,2003-01-01,0.15
8265,XB,2003-01-01,0.17
5223,XB,2003-01-01,0.36
7147,GC,2003-01-01,0.22
7963,PS2,2003-01-01,0.19
9297,XB,2003-01-01,0.14
4680,PS2,2003-01-01,0.41
4319,GC,2003-01-01,0.45
6047,XB,2003-01-01,0.29
4950,PS2,2003-01-01,0.39
9115,XB,2003-01-01,0.14
4593,PS2,2003-01-01,0.42
4594,PS,2003-01-01,0.42
7891,GC,2003-01-01,0.19
5279,PS2,2003-01-01,0.35
9053,PS2,2003-01-01,0.14
8381,GBA,2003-01-01,0.17
6635,PS2,2003-01-01,0.25
7381,GC,2003-01-01,0.21
5524,PS2,2003-01-01,0.33
8566,PS2,2003-01-01,0.16
7667,PS2,2003-01-01,0.2
10254,XB,2003-01-01,0.11
4209,PS2,2003-01-01,0.47
9513,PS2,2003-01-01,0.13
6438,XB,2003-01-01,0.27
8247,XB,2003-01-01,0.17
9635,GC,2003-01-01,0.13
9509,GBA,2003-01-01,0.13
7306,PC,2003-01-01,0.22
5833,GBA,2003-01-01,0.3
6645,XB,2003-01-01,0.25
7492,XB,2003-01-01,0.21
4344,XB,2003-01-01,0.45
6268,XB,2003-01-01,0.27
9120,GC,2003-01-01,0.14
10279,PS2,2003-01-01,0.11
5888,GBA,2003-01-01,0.3
9938,PS2,2003-01-01,0.12
6666,GC,2003-01-01,0.25
5282,PS2,2003-01-01,0.35
4778,PS,2003-01-01,0.4
9499,XB,2003-01-01,0.13
9501,GC,2003-01-01,0.13
7194,PS2,2003-01-01,0.22
6077,PS2,2003-01-01,0.29
6425,GBA,2003-01-01,0.27
7794,PS2,2003-01-01,0.19
